,playerID,nameFirst,nameLast,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,BA,TOTB,SLG,OBP,OPS,RBI/AB,HR/G,R/G,BABIP,Cluster,Total
28087,davisch01,Chili,Davis,1994,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,2,10
28179,gwynnto01,Tony,Gwynn,1984,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,10
1132,broutda01,Dan,Brouthers,1881,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,2,10
9898,felscha01,Happy,Felsch,1916,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,2,10
26256,thompja02,Jason,Thompson,1978,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,2,10
34797,beltrad01,Adrian,Beltre,2014,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,2,10
12525,ottme01,Mel,Ott,1944,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,2,10
228,mcveyca01,Cal,McVey,1877,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,2,10
20478,willibi02,Billy,Williams,1966,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,10
20477,willibi01,Billy,Williams,1966,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,10
620,orourch01,Jim,O'Rourke,1883,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,2,10
11356,stephri01,Riggs,Stephenson,1927,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,10
1140,broutda01,Dan,Brouthers,1889,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,2,10
12314,lazzeto01,Tony,Lazzeri,1933,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,2,10
621,orourji01,Jim,O'Rourke,1883,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,2,10
18319,smithal03,Al,Smith,1955,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,10
348,woltery01,Rynie,Wolters,1871,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,2,10
26913,murphda05,Dale,Murphy,1986,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,10
22626,smithre06,Reggie,Smith,1971,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,10
